code,name
1,Central Alaska
2,Southern Alaska
3,Bering Sea
4,Komandorsky Islands Region
5,Near Islands, Aleutian Islands
6,Rat Islands, Aleutian Islands
7,Andreanof Islands, Aleutian Islands
8,Pribilof Islands, Alaska Region
9,Fox Islands, Aleutian Islands
10,Unimak Island Region, Alaska
11,Bristol Bay
12,Alaska Peninsula
13,Kodiak Island Region, Alaska
14,Kenai Peninsula, Alaska
15,Gulf of Alaska
16,South of Aleutian Islands
17,South of Alaska
18,Southern Yukon Territory, Canada
19,Southeastern Alaska
20,Off Coast of Southeastern Alaska
21,West of Vancouver Island
22,Haida Gwaii Region
23,British Columbia, Canada
24,Alberta, Canada
25,Vancouver Island, Canada Region
26,Off Coast of Washington
27,Near Coast of Washington
28,Washington?Oregon Border Region
29,Washington
30,Off Coast of Oregon
31,Near Coast of Oregon
32,Oregon
33,Western Idaho
34,Off Coast of Northern California
35,Near Coast of Northern California
36,Northern California
37,Nevada
38,Off Coast of California
39,Central California
40,California?Nevada Border Region
41,Southern Nevada
42,Western Arizona
43,Southern California
44,California?Arizona Border Region
45,California?Baja California Border Region
46,Western Arizona?Sonora Border Region
47,Off Western Coast of Baja California
48,Baja California, Mexico
49,Gulf of California
50,Sonora, Mexico
51,Off Coast of Central Mexico
52,Near Coast of Central Mexico
53,Revilla Gigedo Islands Region
54,Off Coast of Jalisco, Mexico
55,Near Coast of Jalisco, Mexico
56,Near Coast of Michoacan, Mexico
57,Michoacan, Mexico
58,Near Coast of Guerrero, Mexico
59,Guerrero, Mexico
60,Oaxaca, Mexico
61,Chiapas, Mexico
62,Mexico?Guatemala Border Region
63,Off Coast of Mexico
64,Off Coast of Michoacan, Mexico
65,Off Coast of Guerrero, Mexico
66,Near Coast of Oaxaca, Mexico
67,Off Coast of Oaxaca, Mexico
68,Off Coast of Chiapas, Mexico
69,Near Coast of Chiapas, Mexico
70,Guatemala
71,Near Coast of Guatemala
72,Honduras
73,El Salvador
74,Near Coast of Nicaragua
75,Nicaragua
76,Off Coast of Central America
77,Off Coast of Costa Rica
78,Costa Rica
79,North of Panama
80,Panama?Costa Rica Border Region
81,Panama
82,Panama?Colombia Border Region
83,South of Panama
84,Yucatan Peninsula, Mexico
85,Cuba Region
86,Jamaica Region
87,Haiti Region
88,Dominican Republic Region
89,Mona Passage
90,Puerto Rico Region
91,Virgin Islands
92,Leeward Islands
93,Belize
94,Caribbean Sea
95,Windward Islands
96,Near North Coast of Colombia
97,Near Coast of Venezuela
98,Trinidad
99,Northern Colombia
100,Lake Maracaibo, Venezuela
101,Venezuela
102,Near West Coast of Colombia
103,Colombia
104,Off Coast of Ecuador
105,Near Coast of Ecuador
106,Colombia?Ecuador Border Region
107,Ecuador
108,Off Coast of Northern Peru
109,Near Coast of Northern Peru
110,Peru?Ecuador Border Region
111,Northern Peru
112,Peru?Brazil Border Region
113,Western Brazil
114,Off Coast of Peru
115,Near Coast of Peru
116,Central Peru
117,Southern Peru
118,Peru?Bolivia Border Region
119,Northern Bolivia
120,Central Bolivia
121,Off Coast of Northern Chile
