code,name
1,米国、アラスカ州中央部
2,米国、アラスカ州南部
3,ベーリング海
4,ロシア、コマンドル諸島
5,アリューシャン列島ニア諸島
6,アリューシャン列島ラット諸島
7,アリューシャン列島アンドリアノフ諸島
8,米国、プリビロフ諸島
9,アリューシャン列島フォックス諸島
10,米国、アラスカ州ユーニマク島
11,米国、ブリストル湾
12,米国、アラスカ半島
13,米国、アラスカ州コディアク島
14,米国、アラスカ州キーナイ半島
15,アラスカ湾
16,アリューシャン列島南方
17,アラスカ州南方
18,カナダ、ユーコン準州南部
19,米国、アラスカ州南東部
20,米国、アラスカ州南東部沖
21,バンクーバー島西方
22,カナダ、クイーンシャーロット諸島
23,カナダ、ブリティッシュコロンビア州
24,カナダ、アルバータ州
25,カナダ、バンクーバー島
26,米国、ワシントン州沖
27,米国、ワシントン州沿岸
28,米国、ワシントン／オレゴン州境
29,米国、ワシントン州
30,米国、オレゴン州沖
31,米国、オレゴン州沿岸
32,米国、オレゴン州
33,米国、アイダホ州
34,米国、カリフォルニア州北部沖
35,米国、カリフォルニア州北部沿岸
36,米国、カリフォルニア州北部
37,米国、ネバダ州
38,米国、カリフォルニア州沖
39,米国、カリフォルニア州中部
40,米国、カリフォルニア／ネバダ州境
41,米国、ネバダ州
42,米国、アリゾナ州
43,米国、カリフォルニア州南部
44,米国、カリフォルニア／アリゾナ州境
45,カリフォルニア州（米国）／メキシコ国境
46,アリゾナ州（米国）／ソノラ州（メキシコ）境
47,メキシコ、バハカリフォルニア州西方沖
48,メキシコ、バハカリフォルニア州
49,メキシコ、カリフォルニア湾
50,メキシコ、ソノラ州
51,メキシコ中部沖
52,メキシコ中部沿岸
53,メキシコ、レビージャヒヘード諸島
54,メキシコ、ハリスコ州沖
55,メキシコ、ハリスコ州沿岸
56,メキシコ、ミチョアカン州沿岸
57,メキシコ、ミチョアカン州
58,メキシコ、ゲレロ州沿岸
59,メキシコ、ゲレロ州
60,メキシコ、オアハカ州
61,メキシコ、チアパス州
62,メキシコ／グアテマラ国境
63,メキシコ沖
64,メキシコ、ミチョアカン州沖
65,メキシコ、ゲレロ州沖
66,メキシコ、オアハカ州沿岸
67,メキシコ、オアハカ州沖
68,メキシコ、チアパス州沖
69,メキシコ、チアパス州沿岸
70,グアテマラ
71,グアテマラ沿岸
72,ホンジュラス
73,エルサルバドル
74,ニカラグア沿岸
75,ニカラグア
76,中央アメリカ沖
77,コスタリカ沖
78,コスタリカ
79,パナマ北方
80,パナマ／コスタリカ国境
81,パナマ
82,パナマ／コロンビア国境
83,パナマ南方
84,メキシコ、ユカタン半島
85,キューバ
86,ジャマイカ
87,ハイチ
88,ドミニカ共和国
89,モナ海峡
90,プエルトリコ
91,バージン諸島
92,リワード諸島
93,ベリーズ
94,カリブ海
95,ウィンドワード諸島
96,コロンビア北岸
97,ベネズエラ沿岸
